Sort Code,Account Number,Name,Reference,Amount
123456,12345678,Coca Cola Ltd,coke-2222,"£34,324.00"
123456,12345678,Ecom ltd,Ecom-2223,"£24,242.00"
123456,12345678,Jojo Decorations,Jojo-2224,"£12,434.00"
123456,12345678,Yummy Cakes,Yummy-2225,"£64,646.00"
123456,12345678,Moon Pig,Moon-2226,"£2,312.00"
123456,12345678,Tiger,Tiger-2227,£242.00
123456,12345678,BingeFilms,BingeFilms-2228,"£1,232,415.00"
123456,12345678,Ridicuile,Ridicuile-2229,"£4,224.00"
123456,12345678,Shell,Shell-2230,£131.00
123456,12345678,Eclipse Holidays,Eclipse-2231,"£34,324.00"
